datetime,stop_name,latitude,longitude,stop_type,passenger_count,hour_of_day,day_of_week,is_weekend,is_public_holiday,is_school_dismissal_time,is_hightide,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,lag_1_hour_demand,lag_24_hour_demand,rolling_3_hour_avg_demand,rolling_6_hour_avg_demand
2023-01-01 00:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,11,0,6,1,0,0,0,0.0,1.0,-0.7818314824680299,0.6234898018587334,11.0,11.0,11.0,11.0
2023-01-01 01:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,13,1,6,1,0,0,0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,11.0,13.0,12.0,12.0
2023-01-01 02:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,11,2,6,1,0,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,13.0,11.0,11.666666666666666,11.666666666666666
2023-01-01 03:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,13,3,6,1,0,0,0,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,11.0,13.0,12.333333333333334,12.0
2023-01-01 04:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,12,4,6,1,0,0,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,13.0,12.0,12.0,12.0
2023-01-01 05:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,13,5,6,1,0,0,0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,12.0,13.0,12.666666666666666,12.166666666666666
2023-01-01 06:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,13,6,6,1,0,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,13.0,13.0,12.666666666666666,12.5
2023-01-01 07:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,11,7,6,1,0,0,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,13.0,11.0,12.333333333333334,12.166666666666666
2023-01-01 08:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,11,8,6,1,0,0,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,11.0,11.0,11.666666666666666,12.166666666666666
2023-01-01 09:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,13,9,6,1,0,0,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,11.0,13.0,11.666666666666666,12.166666666666666
2023-01-01 10:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,11,10,6,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,13.0,11.0,11.666666666666666,12.0
2023-01-01 11:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,12,11,6,1,0,0,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,11.0,12.0,12.0,11.833333333333334
2023-01-01 12:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,30,12,6,1,0,0,0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,12.0,30.0,17.666666666666668,14.666666666666666
2023-01-01 13:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,26,13,6,1,0,0,0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,30.0,26.0,22.666666666666668,17.166666666666668
2023-01-01 14:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,14,14,6,1,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,26.0,14.0,23.333333333333332,17.666666666666668
2023-01-01 15:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,12,15,6,1,0,1,0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,14.0,12.0,17.333333333333332,17.5
2023-01-01 16:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,13,16,6,1,0,1,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,12.0,13.0,13.0,17.833333333333332
2023-01-01 17:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,12,17,6,1,0,1,0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,13.0,12.0,12.333333333333334,17.833333333333332
2023-01-01 18:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,32,18,6,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,12.0,32.0,19.0,18.166666666666668
2023-01-01 19:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,26,19,6,1,0,0,0,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,32.0,26.0,23.333333333333332,18.166666666666668
2023-01-01 20:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,12,20,6,1,0,0,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,26.0,12.0,23.333333333333332,17.833333333333332
2023-01-01 21:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,12,21,6,1,0,0,0,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,12.0,12.0,16.666666666666668,17.833333333333332
2023-01-01 22:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,12,22,6,1,0,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,12.0,12.0,12.0,17.666666666666668
2023-01-01 23:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,11,23,6,1,0,0,0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,12.0,11.0,11.666666666666666,17.5
2023-01-02 00:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,0,0,0,0,0,0,0.0,1.0,0.0,1.0,11.0,11.0,14.333333333333334,15.5
2023-01-02 01:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,1,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,20.0,13.0,17.0,14.5
2023-01-02 02:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,18,2,0,0,0,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,20.0,11.0,19.333333333333332,15.5
2023-01-02 03:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,3,0,0,0,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,18.0,13.0,19.333333333333332,16.833333333333332
2023-01-02 04:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,21,4,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,20.0,12.0,19.666666666666668,18.333333333333332
2023-01-02 05:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,25,5,0,0,0,0,0,0.9659258262890683,0.25881904510252074,0.0,1.0,21.0,13.0,22.0,20.666666666666668
2023-01-02 06:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,6,0,0,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,25.0,13.0,22.0,20.666666666666668
2023-01-02 07:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,22,7,0,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,20.0,11.0,22.333333333333332,21.0
2023-01-02 08:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,8,0,0,0,0,1,0.8660254037844387,-0.4999999999999998,0.0,1.0,22.0,11.0,20.666666666666668,21.333333333333332
2023-01-02 09:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,21,9,0,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,20.0,13.0,21.0,21.5
2023-01-02 10:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,22,10,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,21.0,11.0,21.0,21.666666666666668
2023-01-02 11:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,19,11,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,22.0,12.0,20.666666666666668,20.666666666666668
2023-01-02 12:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,59,12,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,19.0,30.0,33.333333333333336,27.166666666666668
2023-01-02 13:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,51,13,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,59.0,26.0,43.0,32.0
2023-01-02 14:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,24,14,0,0,0,0,1,-0.4999999999999997,-0.8660254037844388,0.0,1.0,51.0,14.0,44.666666666666664,32.666666666666664
2023-01-02 15:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,15,0,0,0,1,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,24.0,12.0,31.666666666666668,32.5
2023-01-02 16:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,23,16,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,20.0,13.0,22.333333333333332,32.666666666666664
2023-01-02 17:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,22,17,0,0,0,1,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,23.0,12.0,21.666666666666668,33.166666666666664
2023-01-02 18:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,55,18,0,0,0,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,22.0,32.0,33.333333333333336,32.5
2023-01-02 19:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,52,19,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,55.0,26.0,43.0,32.666666666666664
2023-01-02 20:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,19,20,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,0.0,1.0,52.0,12.0,42.0,31.833333333333332
2023-01-02 21:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,18,21,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,19.0,12.0,29.666666666666668,31.5
2023-01-02 22:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,22,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,18.0,12.0,19.0,31.0
2023-01-02 23:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,19,23,0,0,0,0,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,20.0,11.0,19.0,30.5
2023-01-03 00:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,23,0,1,0,0,0,0,0.0,1.0,0.7818314824680298,0.6234898018587336,19.0,20.0,20.666666666666668,25.166666666666668
2023-01-03 01:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,21,1,1,0,0,0,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,23.0,20.0,21.0,20.0
2023-01-03 02:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,22,2,1,0,0,0,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,21.0,18.0,22.0,20.5
2023-01-03 03:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,3,1,0,0,0,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,22.0,20.0,21.0,20.833333333333332
2023-01-03 04:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,20,4,1,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,20.0,21.0,20.666666666666668,20.833333333333332
2023-01-03 05:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,23,5,1,0,0,0,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,20.0,25.0,21.0,21.5
2023-01-03 06:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,21,6,1,0,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,23.0,20.0,21.333333333333332,21.166666666666668
2023-01-03 07:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,21,7,1,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,21.0,22.0,21.666666666666668,21.166666666666668
2023-01-03 08:00:00,7 Eleven Bonuan,16.075331,120.342945,commercial,19,8,1,0,0,0,1,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,21.0,20.0,20.333333333333332,20.666666666666668
